BusName,ElementName,class,DataType,Dim,Min,Max,InitValue,Description


DrivingMissionInfo,DrivingMissionInfo,struct,busDrivingMissionInfo,,,,,
busDrivingMissionInfo,missionState,numeric,uint8,1,0,255,0,Current mission state
busDrivingMissionInfo,tollgateLaneNumber,numeric,uint8,1,0,255,0,High pass lane number
busDrivingMissionInfo,velReference,numeric,single,1,-1000,1000,0,Velocity Reference
busDrivingMissionInfo,is_Optimal_Path,numeric,uint8,1,0,255,0,Whether the optimal path has been found

ParkingMissionInfo,ParkingMIssionInfo,struct,busParkingMissionInfo,,,,,
busParkingMissionInfo,parkingStartPos_X,numeric,single,1,-1000,1000,0,Parking start position X
busParkingMissionInfo,parkingStartPos_Y,numeric,single,1,-1000,1000,0,Parking start position Y
busParkingMissionInfo,parkingDestinationPos_X,numeric,single,1,-1000,1000,0,Parking destination position X
busParkingMissionInfo,parkingDestinationPos_Y,numeric,single,1,-1000,1000,0,Parking destination position Y
busParkingMissionInfo,parkingDestinationYaw,numeric,single,1,-1000,1000,0,Parking destination Yaw
busParkingMissionInfo,parkingMapBoundary_X_Min,numeric,single,1,-1000,1000,0,Parking map boundary X Min
busParkingMissionInfo,parkingMapBoundary_X_Max,numeric,single,1,-1000,1000,0,Parking map boundary X Max
busParkingMissionInfo,parkingMapBoundary_Y_Min,numeric,single,1,-1000,1000,0,Parking map boundary Y Min
busParkingMissionInfo,parkingMapBoundary_Y_Max,numeric,single,1,-1000,1000,0,Parking map boundary Y MAX
busParkingMissionInfo,isPathFound,numeric,uint8,1,0,255,0,whether the optimal parking path has been generated
busParkingMissionInfo,parking_clear,numeric,uint8,1,0,255,0,Whether Parking is complete
busParkingMissionInfo,velReference,numeric,single,1,-1000,1000,0,Velocity Reference
busParkingMissionInfo,LAD,numeric,single,1,0,100,0,Look ahead distance
busParkingMissionInfo,y_LAD,numeric,single,1,0,100,0,Lateral offset when x is Look ahead distance

CurrentLaneInfo,CurrentLaneInfo,struct,busCurrentLaneInfo,,,,,
busCurrentLaneInfo,lane_Idx,numeric,uint8,1,0,255,0,Current lane number
busCurrentLaneInfo,lane_Coeff,numeric,single,4,-1000,1000,0,Lane polytfit coefficient [c0 c1 c2 c3]
busCurrentLaneInfo,lane_waypoints,numeric,single,[300 2],-1000,1000,0,Ego history array
busCurrentLaneInfo,lane_waypoints_Length,numeric,uint16,1,0,300,0,Actual valid length
busCurrentLaneInfo,lookAheadDistance,numeric,single,1,0,100,0,Look ahead distance
busCurrentLaneInfo,y_lookAheadDistance,numeric,single,1,0,100,0,Lateral offset when x is Look ahead distance

EgoVehicle,EgoVehicle,struct,busEgoVehicle,,,,,
busEgoVehicle,ego_X,numeric,single,1,-1000,1000,0,Ego vehicle X position
busEgoVehicle,ego_Y,numeric,single,1,-1000,1000,0,Ego vehicle Y position
busEgoVehicle,ego_YAW,numeric,single,1,-1000,1000,0,Ego vehicle YAW angle
busEgoVehicle,ego_Speed,numeric,single,1,0,300,0,Ego vehicle speed
busEgoVehicle,ego_Accel,numeric,single,1,0,200,0,Ego vehicle accel

MapData,MapData,struct,busMapData,,,,,
busMapData,Route1,numeric,double,[283 2],-1000,1000,0,Route 1 waypoints
busMapData,Route2,numeric,double,[275 2],-1000,1000,0,Route 2 waypoints
busMapData,Route3,numeric,double,[266 2],-1000,1000,0,Route 3 waypoints
busMapData,Route_Parking,numeric,double,[48 2],-1000,1000,0,Route Parking waypoints

HybridAStarParam,HybridAStarParam,struct,busHybridAStarParam,,,,,
busHybridAStarParam,xyResolution,numeric,single,1,0,10,0,XY grid resolution [m]
busHybridAStarParam,yawResolution,numeric,single,1,0,3.14,0,Yaw grid resolution [rad] (10deg)
busHybridAStarParam,stepSize,numeric,single,1,0,10,0,Arc length per motion primitive [m]
busHybridAStarParam,R_min,numeric,single,1,0,20,0,Minimum turning radius [m]
busHybridAStarParam,vehicleRadius,numeric,single,1,0,5,0,Ego vehicle collision radius [m]
busHybridAStarParam,obsRadius,numeric,single,1,0,5,0,Obstacle circle radius [m]
busHybridAStarParam,carLengthObs,numeric,single,1,0,10,0,Obstacle car length (rear reference) [m]
busHybridAStarParam,reversePenalty,numeric,single,1,0,10,0,Cost multiplier for reverse driving
busHybridAStarParam,steerSet,numeric,single,[3 1],-1,1,0,Normalized steering set (κ/κmax)
busHybridAStarParam,maxIter,numeric,uint32,1,0,1000000,0,Maximum iteration count
busHybridAStarParam,goalPosTol,numeric,single,1,0,5,0,Goal tolerance (position) [m]
busHybridAStarParam,goalYawTol,numeric,single,1,0,3.14,0,Yaw tolerance [rad] (20deg)
busHybridAStarParam,yawWeight,numeric,single,1,0,10,0,Heuristic weight for yaw difference
